num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
38,27,14,1,1,0,3,0,0
462,261,170,1,1,3,51,0,0
54,43,17,0,0,0,2,0,0
71,53,18,0,0,1,7,0,0
422,219,131,0,0,1,29,1,0
311,151,65,0,0,0,45,1,0
253,138,105,0,0,0,21,0,0
51,31,3,0,0,2,25,0,0
56,46,19,0,0,0,3,0,1
153,65,53,0,0,0,3,0,0
59,40,17,0,0,0,10,0,0
30,26,5,0,0,2,6,0,0
388,194,152,0,0,5,13,0,0
342,184,124,0,0,0,7,1,0
189,125,69,0,0,0,3,0,1
141,89,47,0,0,0,17,0,0
44,39,11,0,0,0,8,0,0
192,120,43,0,0,0,9,0,1
36,31,17,0,0,0,2,0,0
85,56,20,0,0,0,2,0,1
79,60,24,0,0,0,9,0,0
764,249,210,1,1,0,116,1,0
54,29,27,0,0,0,8,0,0
130,90,50,1,1,1,4,0,0
610,315,196,0,0,0,68,0,1
47,37,15,0,0,0,4,0,0
657,340,210,0,0,0,88,0,1
179,128,57,1,1,0,7,0,0
17,17,1,0,0,1,5,0,0
47,42,13,0,0,0,5,0,0
733,281,223,0,0,3,64,0,0
1758,651,657,0,0,2,71,1,0
159,111,61,0,0,1,3,0,0
239,137,96,2,2,0,6,0,0
220,103,53,0,0,11,31,0,0
117,76,13,0,0,0,32,0,1
66,48,25,0,0,0,2,0,0
116,74,37,0,0,0,7,0,0
29,26,6,0,0,0,5,0,1
390,197,138,11,4,1,20,3,0
558,290,162,0,0,0,24,2,1
68,48,13,0,0,0,11,0,0
72,57,16,0,0,1,3,0,0
35,29,5,0,0,0,0,1,0
302,155,42,0,0,1,95,1,0
61,42,29,0,0,0,2,0,0
135,71,58,0,0,0,1,0,1
260,133,104,0,0,0,19,0,0
89,56,22,0,0,0,3,1,1
72,50,27,0,0,0,4,0,0
98,55,23,0,0,4,37,0,0
218,124,60,4,1,1,11,0,0
444,211,176,0,0,2,10,1,0
26,21,14,0,0,0,2,0,0
529,258,94,20,2,1,107,1,0
60,49,9,0,0,0,9,0,1
22,22,4,1,1,0,2,0,0
26,23,9,0,0,0,2,0,0
122,84,51,0,0,1,5,0,0
648,287,243,0,0,4,40,0,0
413,173,174,0,0,0,12,0,0
791,86,76,0,0,23,239,0,0
423,214,48,0,0,2,87,0,0
177,94,25,0,0,0,55,1,0
70,55,10,0,0,2,21,0,0
57,44,18,0,0,0,7,0,0
733,365,237,0,0,1,38,1,0
97,68,39,0,0,0,9,0,0
59,50,16,0,0,0,4,0,1
42,31,9,0,0,0,13,0,0
617,218,148,0,0,4,116,2,0
758,420,215,1,1,0,72,1,0
183,113,49,0,0,0,17,0,1
107,74,38,0,0,0,10,0,0
62,52,24,0,0,0,0,0,0
685,329,179,0,0,0,99,1,0
19,17,0,0,0,0,3,0,0
31,27,6,0,0,2,8,0,0
1518,619,490,0,0,1,33,2,0
67,53,10,1,1,2,5,0,0
902,438,212,0,0,47,143,0,0
557,184,142,2,1,31,62,0,0
57,41,23,0,0,0,1,0,0
215,140,42,0,0,0,52,1,0
34,27,11,0,0,0,2,0,0
47,40,10,0,0,5,8,0,0
132,81,34,0,0,0,10,0,1
216,97,55,0,0,0,27,0,0
189,93,32,0,0,1,58,0,0
